ticker,label,probability,bid_usd,ask_usd,spread_probability,change_28d_pp,change_7d_pp,quote_status,open_interest_contracts,quote_observed_utc
KXMORATORIUMCOUNT-26DEC31-AL3,At least 3 state moratoriums in 2026,0.6699999999999999,0.64,0.7,0.0599999999999999,36.49999999999999,1.999999999999991,usable,5762.04,2026-09-08T15:00:00Z
KXMORATORIUMCOUNT-26DEC31-AL4,At least 4 state moratoriums in 2026,0.405,0.37,0.44,0.07,23.5,-9.499999999999996,usable,2880.93,2026-09-08T13:00:00Z
KXMORATORIUMCOUNT-26DEC31-AL5,At least 5 state moratoriums in 2026,0.29,0.26,0.32,0.06,17.000000000000004,-7.499999999999996,usable,4244.92,2026-09-07T23:00:00Z
KXAIBILL-26JUN-27JAN01,Federal AI framework law before 2027,0.125,0.09,0.16,0.07,1.499999999999999,2.5,usable,2853.62,2026-09-08T15:00:00Z
KXAILEGISLATION-27-JAN01,AI regulation contract before 2027,0.0965,0.063,0.13,0.067,-2.85,-0.9999999999999996,usable,15478.0,2026-09-08T15:00:00Z
KXCORPTAXCUT-27JAN01-21,Corporate tax below 21% before 2027,0.0555,0.033,0.078,0.045,-0.3999999999999997,-1.3500000000000003,usable,19747.25,2026-09-08T01:00:00Z
KXACAEXT-26JAN-27,Enhanced ACA credits law before 2027,0.0695,0.059,0.08,0.021,1.1500000000000004,0.0,usable,45593.54,2026-09-08T15:00:00Z
KXSUSPENDGASTAX-26MAY-JAN01,Federal gas-tax reduction before 2027,0.125,0.12,0.13,0.01,-3.0,1.0000000000000009,usable,137321.23,2026-09-08T15:00:00Z
