ticker,metric,value,period_end,latest_known_at,source_urls,status
MSFT,diluted_eps,17.95,2026-06-30,2026-07-29T20:08:01+00:00,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,observed
MSFT,revenue,331839000000.0,2026-06-30,2026-07-29T20:08:01+00:00,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,observed
MSFT,operating_income,155237000000.0,2026-06-30,2026-07-29T20:08:01+00:00,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,observed
MSFT,operating_cash_flow,182935000000.0,2026-06-30,2026-07-29T20:08:01+00:00,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,observed
MSFT,cash_capex,115948000000.0,2026-06-30,2026-07-29T20:08:01+00:00,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,observed
MSFT,common_shares_outstanding,7425545491.0,2026-07-23,2026-07-29T20:08:01+00:00,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,observed
VRT,diluted_eps,4.42,2026-06-30,2026-07-29T20:08:23+00:00,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,derived_matching_periods
VRT,revenue,11479600000.0,2026-06-30,2026-07-29T20:08:23+00:00,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,derived_matching_periods
VRT,operating_income,2174600000.0,2026-06-30,2026-07-29T20:08:23+00:00,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,derived_matching_periods
VRT,operating_cash_flow,3354200000.0,2026-06-30,2026-07-29T20:08:23+00:00,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,derived_matching_periods
