issue_id,series_ticker,subject,word_normalized,latest14d_events,latest14d_mean_probability,prior28d_events,prior28d_mean_probability,matched_supported,change_pp,interpretation
ai_jobs_regulation,KXEARNINGSMENTIONCRWD,crowdstrike holdings inc.,openai,1,0.75,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONCRWV,coreweave inc.,anthropic,0,,1,0.755,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONCVNA,carvana co.,ai / artificial intelligence,0,,1,0.655,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONCVNA,carvana co.,automation,0,,1,0.225,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONDE,deere company,ai / artificial intelligence,0,,1,0.46499999999999997,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONDE,deere company,automation,0,,1,0.805,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONDELL,dell technologies inc.,ai factory,1,0.785,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONDELL,dell technologies inc.,secure ai alliance,1,0.21000000000000002,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONDIS,the walt disney company,ai / artificial intelligence,0,,1,0.775,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONEBAY,ebay,ai / artificial intelligence,0,,1,0.945,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONEBAY,ebay,openai / chatgpt,0,,1,0.32999999999999996,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONF,ford motor company,ai / artificial intelligence,0,,1,0.625,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONFIG,figma,ai / artificial intelligence,0,,1,0.965,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONFIG,figma,anthropic,0,,1,0.235,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONFIG,figma,openai / chatgpt,0,,1,0.335,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONHPE,hewlett packard enterprise,automation,1,0.695,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONHPE,hewlett packard enterprise,private cloud ai,1,0.895,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
