issue_id,channel,week_start_utc,observed_days,newly_listed_events,volume_observed_contracts,last_observed_day,oi_at_last_observed_day,interpretation
ai_jobs_regulation,mention,2026-08-31,7,10,138727.6,2026-09-06,24138.899999999998,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,mention,2026-09-07,1,0,6973.37,2026-09-07,30982.58,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-07-06,5,1,2502.31,2026-07-12,88336.42,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-07-13,7,0,5116.74,2026-07-19,90894.51,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-07-20,7,0,9268.38,2026-07-26,96718.65000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-07-27,7,1,12035.41,2026-08-02,98195.77,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-08-03,7,0,14003.48,2026-08-09,98088.19,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-08-10,7,0,3821.4,2026-08-16,103583.72,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-08-17,7,1,2543.22,2026-08-23,106141.69,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-08-24,7,1,11499.96,2026-08-30,102079.78,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-08-31,7,2,7789.08,2026-09-06,80825.6,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
ai_jobs_regulation,policy,2026-09-07,1,0,686.48,2026-09-07,99030.46,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-07-06,5,0,5883.43,2026-07-12,4969.75,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-07-13,7,1,18024.65,2026-07-19,2645.9900000000002,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-07-20,7,0,509.29999999999995,2026-07-26,674.6800000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-07-27,7,0,719.94,2026-08-02,3317.5,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-08-03,7,0,808.72,2026-08-09,2973.27,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-08-10,7,2,9596.99,2026-08-16,9385.28,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-08-17,7,1,78526.33,2026-08-23,50516.4,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-08-24,7,0,77624.11,2026-08-30,62007.979999999996,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-08-31,7,1,198024.27,2026-09-06,154133.19,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,macro,2026-09-07,1,0,46160.45,2026-09-07,186194.44,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-07-06,5,1,21315.27,2026-07-12,1066.22,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-07-13,7,3,4588.7,2026-07-19,1822.6100000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-07-20,7,7,90873.48999999999,2026-07-26,2655.52,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-07-27,7,7,35092.04,2026-08-02,3605.0,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-08-03,7,2,92342.12,2026-08-09,409.15,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-08-10,7,0,1165.21,2026-08-16,1573.36,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-08-17,7,2,8990.619999999999,2026-08-23,3256.08,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-08-24,7,2,32404.95,2026-08-30,3486.42,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,mention,2026-08-31,3,0,5466.200000000001,2026-09-02,4611.51,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
