issue_id,channel,series_ticker,recent_days,day,period,fixed_panel_contracts,volume,observed_contracts,events,traded_contracts,median_spread,usable_hours,hours,volume_per_observed_contract,issue_label
affordability_inflation,macro,KXCPI,7,2026-08-04,prior,20,37.0,19.0,4.0,3.0,0.3,29.0,227.0,1.9473684210526316,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-05,prior,20,758.0,19.0,4.0,7.0,0.3,17.0,243.0,39.89473684210526,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-06,prior,20,405.0,20.0,4.0,9.0,0.31,57.0,306.0,20.25,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-07,prior,20,111.0,20.0,4.0,5.0,0.32499999999999996,21.0,217.0,5.55,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-08,prior,20,184.0,17.0,4.0,4.0,0.3299999999999999,10.0,168.0,10.823529411764707,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-10,prior,20,231.04999999999998,20.0,4.0,17.0,0.39499999999999996,22.0,259.0,11.552499999999998,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-11,prior,20,153.5,19.0,4.0,8.0,0.35,27.0,270.0,8.078947368421053,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-12,prior,20,3658.81,20.0,4.0,14.0,0.265,60.0,336.0,182.9405,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-13,prior,20,12389.060000000001,20.0,4.0,12.0,0.24499999999999994,115.0,344.0,619.4530000000001,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-14,prior,20,11189.81,20.0,4.0,10.0,0.24499999999999994,142.0,381.0,559.4905,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-15,prior,20,2343.82,19.0,4.0,12.0,0.29,49.0,290.0,123.35894736842106,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-16,prior,20,1055.1,17.0,4.0,11.0,0.36,36.0,284.0,62.06470588235294,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-17,prior,20,78462.86,19.0,4.0,12.0,0.13,97.0,239.0,4129.624210526315,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-18,prior,20,3837.2,20.0,4.0,8.0,0.2149999999999999,122.0,270.0,191.85999999999999,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-19,prior,20,7125.879999999999,19.0,4.0,11.0,0.3199999999999999,136.0,283.0,375.0463157894736,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-20,prior,20,6264.43,19.0,4.0,9.0,0.3199999999999999,111.0,259.0,329.70684210526315,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-21,prior,20,2829.46,20.0,4.0,6.0,0.24999999999999994,113.0,261.0,141.473,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-22,prior,20,5843.72,20.0,4.0,12.0,0.21999999999999995,98.0,240.0,292.18600000000004,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-23,prior,20,630.57,19.0,4.0,12.0,0.1699999999999999,104.0,230.0,33.18789473684211,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-24,prior,20,9157.66,19.0,4.0,12.0,0.08,106.0,242.0,481.9821052631579,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-25,prior,20,13203.76,18.0,3.0,10.0,0.21499999999999994,106.0,224.0,733.5422222222222,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-26,prior,20,4077.1600000000003,20.0,4.0,12.0,0.20499999999999996,98.0,269.0,203.858,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-27,prior,20,41050.119999999995,20.0,4.0,12.0,0.14999999999999997,98.0,295.0,2052.506,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-28,prior,20,2220.38,19.0,4.0,14.0,0.05,127.0,215.0,116.8621052631579,Affordability and inflation
affordability_inflation,macro,KXCPI,7,2026-08-29,prior,20,1418.92,19.0,4.0,13.0,0.1899999999999999,66.0,155.0,74.68,Affordability and inflation
