issue_id,channel,series_ticker,event_ticker,event_creation_day,observed_contract_days,coverage_fraction,volume_per_observed_contract_day,total_volume,issue_label
affordability_inflation,mention,KXEARNINGSMENTIONDPZ,KXEARNINGSMENTIONDPZ-26JUL20,2026-07-08T00:00:00Z,2,1.0,365.385,730.77,Affordability and inflation
ai_jobs_regulation,mention,KXEARNINGSMENTIONDPZ,KXEARNINGSMENTIONDPZ-26JUL20,2026-07-08T00:00:00Z,2,1.0,526.235,1052.47,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONDPZ,KXEARNINGSMENTIONDPZ-26JUL20,2026-07-08T00:00:00Z,2,1.0,40.865,81.73,Trade and tariffs
affordability_inflation,mention,KXEARNINGSMENTIONDPZ,KXEARNINGSMENTIONDPZ-26OCT15,2026-07-23T00:00:00Z,2,1.0,18.5,37.0,Affordability and inflation
ai_jobs_regulation,mention,KXEARNINGSMENTIONDPZ,KXEARNINGSMENTIONDPZ-26OCT15,2026-07-23T00:00:00Z,2,1.0,0.0,0.0,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONDPZ,KXEARNINGSMENTIONDPZ-26OCT15,2026-07-23T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONEBAY,KXEARNINGSMENTIONEBAY-26AUG05,2026-07-23T00:00:00Z,4,1.0,535.63,2142.52,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONF,KXEARNINGSMENTIONF-26JUL28,2026-07-23T00:00:00Z,2,1.0,108.835,217.67,"AI, jobs and regulation"
electricity_datacenters,mention,KXEARNINGSMENTIONF,KXEARNINGSMENTIONF-26JUL28,2026-07-23T00:00:00Z,2,1.0,310.55,621.1,Electricity and data centers
energy_iran,mention,KXEARNINGSMENTIONF,KXEARNINGSMENTIONF-26JUL28,2026-07-23T00:00:00Z,2,1.0,427.5,855.0,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONF,KXEARNINGSMENTIONF-26JUL28,2026-07-23T00:00:00Z,2,1.0,353.5,707.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONFIG,KXEARNINGSMENTIONFIG-26AUG05,2026-07-23T00:00:00Z,6,1.0,272.90000000000003,1637.4,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONGRAB,KXEARNINGSMENTIONGRAB-26AUG03,2026-07-24T00:00:00Z,2,1.0,152.5,305.0,Energy and Iran
affordability_inflation,mention,KXEARNINGSMENTIONHD,KXEARNINGSMENTIONHD-26AUG18,2026-07-23T00:00:00Z,2,1.0,225.0,450.0,Affordability and inflation
taxes_fiscal,mention,KXEARNINGSMENTIONHD,KXEARNINGSMENTIONHD-26AUG18,2026-07-23T00:00:00Z,2,1.0,201.0,402.0,Taxes and fiscal policy
trade_tariffs,mention,KXEARNINGSMENTIONHD,KXEARNINGSMENTIONHD-26AUG18,2026-07-23T00:00:00Z,2,1.0,305.08,610.16,Trade and tariffs
