series_ticker,recent_days,matched_recent_event_days,recent_distinct_events,independent_past_events,mean_recent_activity_per_contract,mean_lead_matched_past_activity,lead_matched_activity_ratio,status,limitation
KXFEDCOMBO,14,12,1,1,810.7433194444446,373.1474305555555,2.1727158036097967,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXFEDDECISION,14,12,1,1,372510.001,209040.49016666666,1.7819992705862875,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXFOMCDISSENTCOUNT,14,12,1,1,1029.5245833333333,588.6004166666668,1.7491061069302105,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXJOBLESSCLAIMS,14,15,3,7,165.37552255892254,274.23912289562287,0.6030340267018193,calendar_comparison_supported,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXNHSALES,14,1,1,1,155.8775,912.62,0.17080219587561088,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXPAYROLLS,14,16,2,1,1145.1031692813765,2485.229264423077,0.4607635946002759,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXPCECORE,14,2,1,1,2076.389,1730.2232500000002,1.2000699909679284,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXPOWERKWH,14,14,1,2,35.27958333333333,20.070480983302414,1.757784647148421,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXSHELTERCPI,14,14,1,2,22.086138861138863,0.2261904761904762,97.64398233345602,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXU3,14,16,2,1,1473.9002005494508,2879.764998647186,0.5118126657007909,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXUSGASCPI,14,14,1,2,74.3559928062134,234.2637336047232,0.31740291876196,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXWTIMAX,14,7,1,1,212.69266666666667,1317.1434133089133,0.16148026442492125,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXWTIMIN,14,7,1,1,41.475288904078376,103.97305612244897,0.39890420125030246,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
