issue_id,channel,recent_days,recent_start,prior_start,prior_days,new_contracts_recent,new_contracts_prior,new_contracts_per_day_recent,new_contracts_per_day_prior,new_contracts_rate_ratio,affected_events_recent,affected_events_prior,affected_events_per_day_recent,affected_events_per_day_prior,affected_events_rate_ratio,affected_families_recent,affected_families_prior,affected_families_per_day_recent,affected_families_per_day_prior,affected_families_rate_ratio,contracts_added_to_existing_events_recent,contracts_added_to_existing_events_prior,contracts_added_to_existing_events_per_day_recent,contracts_added_to_existing_events_per_day_prior,contracts_added_to_existing_events_rate_ratio,new_events_recent,new_events_prior,new_events_per_day_recent,new_events_per_day_prior,new_events_rate_ratio,families_with_new_events_recent,families_with_new_events_prior,families_with_new_events_per_day_recent,families_with_new_events_per_day_prior,families_with_new_events_rate_ratio,new_events_in_preexisting_archive_families_recent,new_events_in_preexisting_archive_families_prior,new_events_in_preexisting_archive_families_per_day_recent,new_events_in_preexisting_archive_families_per_day_prior,new_events_in_preexisting_archive_families_rate_ratio,first_observed_families_recent,first_observed_families_prior,first_observed_families_per_day_recent,first_observed_families_per_day_prior,first_observed_families_rate_ratio,contracts_per_new_event_recent,creation_scope,issue_label
ai_jobs_regulation,policy,7,2026-09-01,2026-08-04,28,4,2,0.5714285714285714,0.07142857142857142,8.0,2,2,0.2857142857142857,0.07142857142857142,4.0,2,2,0.2857142857142857,0.07142857142857142,4.0,0,0,0.0,0.0,,2,2,0.2857142857142857,0.07142857142857142,4.0,2,2,0.2857142857142857,0.07142857142857142,4.0,0,0,0.0,0.0,,2,2,0.2857142857142857,0.07142857142857142,4.0,2.0,classified_metadata_archive_not_historical_website_census,"AI, jobs and regulation"
ai_jobs_regulation,policy,14,2026-08-25,2026-07-28,28,4,3,0.2857142857142857,0.10714285714285714,2.6666666666666665,2,3,0.14285714285714285,0.10714285714285714,1.3333333333333333,2,3,0.14285714285714285,0.10714285714285714,1.3333333333333333,0,0,0.0,0.0,,2,3,0.14285714285714285,0.10714285714285714,1.3333333333333333,2,3,0.14285714285714285,0.10714285714285714,1.3333333333333333,0,0,0.0,0.0,,2,3,0.14285714285714285,0.10714285714285714,1.3333333333333333,2.0,classified_metadata_archive_not_historical_website_census,"AI, jobs and regulation"
electoral_context,election,7,2026-09-01,2026-08-04,28,1,62,0.14285714285714285,2.2142857142857144,0.06451612903225806,1,12,0.14285714285714285,0.42857142857142855,0.3333333333333333,1,5,0.14285714285714285,0.17857142857142858,0.7999999999999999,1,1,0.14285714285714285,0.03571428571428571,4.0,0,11,0.0,0.39285714285714285,0.0,0,4,0.0,0.14285714285714285,0.0,0,8,0.0,0.2857142857142857,0.0,0,3,0.0,0.10714285714285714,0.0,,classified_metadata_archive_not_historical_website_census,Election outcomes and control
electoral_context,election,14,2026-08-25,2026-07-28,28,1,80,0.07142857142857142,2.857142857142857,0.024999999999999998,1,15,0.07142857142857142,0.5357142857142857,0.13333333333333333,1,8,0.07142857142857142,0.2857142857142857,0.25,1,3,0.07142857142857142,0.10714285714285714,0.6666666666666666,0,12,0.0,0.42857142857142855,0.0,0,5,0.0,0.17857142857142858,0.0,0,8,0.0,0.2857142857142857,0.0,0,4,0.0,0.14285714285714285,0.0,,classified_metadata_archive_not_historical_website_census,Election outcomes and control
electricity_datacenters,macro,7,2026-09-01,2026-08-04,28,97,80,13.857142857142858,2.857142857142857,4.85,9,9,1.2857142857142858,0.32142857142857145,4.0,7,8,1.0,0.2857142857142857,3.5,2,3,0.2857142857142857,0.10714285714285714,2.6666666666666665,8,8,1.1428571428571428,0.2857142857142857,4.0,7,7,1.0,0.25,4.0,8,4,1.1428571428571428,0.14285714285714285,8.0,0,3,0.0,0.10714285714285714,0.0,12.125,classified_metadata_archive_not_historical_website_census,Electricity and data centers
electricity_datacenters,macro,14,2026-08-25,2026-07-28,28,156,21,11.142857142857142,0.75,14.857142857142856,14,4,1.0,0.14285714285714285,7.0,11,4,0.7857142857142857,0.14285714285714285,5.5,2,3,0.14285714285714285,0.10714285714285714,1.3333333333333333,13,3,0.9285714285714286,0.10714285714285714,8.666666666666668,11,3,0.7857142857142857,0.10714285714285714,7.333333333333334,11,1,0.7857142857142857,0.03571428571428571,22.0,1,2,0.07142857142857142,0.07142857142857142,1.0,12.0,classified_metadata_archive_not_historical_website_census,Electricity and data centers
electricity_datacenters,mention,7,2026-09-01,2026-08-04,28,0,6,0.0,0.21428571428571427,0.0,0,6,0.0,0.21428571428571427,0.0,0,6,0.0,0.21428571428571427,0.0,0,1,0.0,0.03571428571428571,0.0,0,5,0.0,0.17857142857142858,0.0,0,5,0.0,0.17857142857142858,0.0,0,5,0.0,0.17857142857142858,0.0,0,0,0.0,0.0,,,classified_metadata_archive_not_historical_website_census,Electricity and data centers
electricity_datacenters,mention,14,2026-08-25,2026-07-28,28,1,11,0.07142857142857142,0.39285714285714285,0.18181818181818182,1,11,0.07142857142857142,0.39285714285714285,0.18181818181818182,1,11,0.07142857142857142,0.39285714285714285,0.18181818181818182,0,1,0.0,0.03571428571428571,0.0,1,11,0.07142857142857142,0.39285714285714285,0.18181818181818182,1,11,0.07142857142857142,0.39285714285714285,0.18181818181818182,1,9,0.07142857142857142,0.32142857142857145,0.22222222222222218,0,2,0.0,0.07142857142857142,0.0,1.0,classified_metadata_archive_not_historical_website_census,Electricity and data centers
electricity_datacenters,policy,7,2026-09-01,2026-08-04,28,0,6,0.0,0.21428571428571427,0.0,0,6,0.0,0.21428571428571427,0.0,0,3,0.0,0.10714285714285714,0.0,0,0,0.0,0.0,,0,6,0.0,0.21428571428571427,0.0,0,3,0.0,0.10714285714285714,0.0,0,0,0.0,0.0,,0,3,0.0,0.10714285714285714,0.0,,classified_metadata_archive_not_historical_website_census,Electricity and data centers
electricity_datacenters,policy,14,2026-08-25,2026-07-28,28,0,6,0.0,0.21428571428571427,0.0,0,6,0.0,0.21428571428571427,0.0,0,3,0.0,0.10714285714285714,0.0,0,0,0.0,0.0,,0,6,0.0,0.21428571428571427,0.0,0,3,0.0,0.10714285714285714,0.0,0,0,0.0,0.0,,0,3,0.0,0.10714285714285714,0.0,,classified_metadata_archive_not_historical_website_census,Electricity and data centers
