issue_id,channel,recent_days,metadata_contracts,metadata_families,families_with_any_window_observation,eligible_continuing_families,eligible_continuing_contracts,minimum_required_families,equal_family_log1p_activity_change,median_family_volume_ratio,median_family_robust_activity_z,families_activity_rising,share_families_activity_rising,equal_family_persistence_share,recent_fixed_panel_volume,largest_family_volume_share,largest_family,median_quote_usable_share,attention_class,electoral_salience_status,distinct_coverage_classifications,minimum_eligible_families_across_coverage,classification_stable_across_coverage,issue_label
energy_iran,macro,14,541,8,6,3,27,3,-0.32112484923534773,0.7805671185546903,-0.638035063259923,0.0,0.0,0.35714285714285715,353875.06,0.8688206792532936,KXWTIMAX,0.9724907063197026,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,2,False,Energy and Iran
energy_iran,mention,7,497,65,35,4,8,3,1.1490631636783641,1.7638892261070571,1.0017953546300875,2.0,0.5,0.6964285714285714,28637.7,0.9435150169182581,KXSECPRESSMENTION,0.9505220883534137,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,4,True,Energy and Iran
energy_iran,mention,14,497,65,45,3,6,3,0.8567883464092899,1.9260491221474643,0.6686200791774602,3.0,1.0,0.663003663003663,2518.88,0.6237375341421584,KXFEDMENTION,0.9550561797752809,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,2,2,False,Energy and Iran
energy_iran,policy,7,400,26,24,14,41,3,0.34566331166668085,1.0912675228025297,-0.03901855318011109,10.0,0.7142857142857143,0.552721088435374,746943.17,0.653631172502722,KXHORMUZNORM,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,1,12,True,Energy and Iran
energy_iran,policy,14,400,26,24,14,39,3,0.7373845205176229,1.4083033048840765,0.29307560806401484,10.0,0.7142857142857143,0.596546310832025,2149319.5599999996,0.7784726622968994,KXHORMUZNORM,1.0,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,12,True,Energy and Iran
fed_rates,macro,7,347,12,10,9,166,3,0.5841572748688706,1.6029184994372576,0.4050299078755153,8.0,0.8888888888888888,0.7328042328042327,13418195.94,0.8979089412522023,KXFEDDECISION,0.9136351740382099,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,7,True,Fed and interest rates
fed_rates,macro,14,347,12,10,9,176,3,0.66582096020669,2.5779412400513446,0.5885391233724272,9.0,1.0,0.7261904761904762,26716977.75,0.9067477896147891,KXFEDDECISION,0.8627658169330339,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,8,True,Fed and interest rates
fed_rates,mention,7,9,8,0,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Fed and interest rates
fed_rates,mention,14,9,8,1,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Fed and interest rates
fed_rates,policy,7,55,12,11,7,15,3,-0.2530471321590561,0.48635780992492206,-0.2538364625800351,2.0,0.2857142857142857,0.28231292517006806,7968.750000000001,0.3298698039215686,KXLEAVEPOWELLGOV,0.9704142011834319,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,1,7,True,Fed and interest rates
fed_rates,policy,14,55,12,11,7,18,3,-0.2859600283671243,0.7621807101745284,0.05186264546464872,1.0,0.14285714285714285,0.3049450549450549,21662.93,0.4916989530040488,KXCBRATEHIKE,0.9711538461538461,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,1,5,True,Fed and interest rates
healthcare,mention,7,80,19,11,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Health care
healthcare,mention,14,80,19,12,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Health care
healthcare,policy,7,15,8,7,5,8,3,-0.36991334884767857,0.038513469392913634,-0.5995327410789684,1.0,0.2,0.08571428571428572,92.16,0.9919704861111112,KXACAEXT,0.95,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,4,True,Health care
healthcare,policy,14,15,8,7,5,8,3,-0.4989157458728692,0.0,-1.1149086557437657,1.0,0.2,0.05714285714285714,273.89000000000004,0.996677498265727,KXACAEXT,0.90625,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,2,False,Health care
housing,macro,7,126,5,5,1,1,3,-0.27484270013047385,0.822972525653757,0.09263871027263913,0.0,0.0,0.3333333333333333,124.31,1.0,KXMORTGAGERATE,1.0,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Housing
housing,macro,14,126,5,5,1,1,3,-0.4808216631093525,0.4894406190940752,0.05377099121640537,0.0,0.0,0.3333333333333333,166.16,1.0,KXMORTGAGERATE,1.0,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Housing
housing,mention,7,13,8,2,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Housing
